customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
1,Synthetic Customer 00001,customer00001@example.invalid,Singapore,2021-09-11,Basic,13023.68
2,Synthetic Customer 00002,customer00002@example.invalid,Canada,2024-07-23,Premium,10643.67
3,Synthetic Customer 00003,customer00003@example.invalid,UK,2024-04-05,Premium,8517.78
4,Synthetic Customer 00004,customer00004@example.invalid,Singapore,2022-11-27,Premium,5121.61
5,Synthetic Customer 00005,customer00005@example.invalid,Canada,2020-05-13,Basic,4629.28
6,Synthetic Customer 00006,customer00006@example.invalid,Australia,2020-07-06,Standard,18125.26
7,Synthetic Customer 00007,customer00007@example.invalid,Canada,2024-10-01,Basic,13529.19
8,Synthetic Customer 00008,customer00008@example.invalid,Singapore,2024-09-09,Premium,19085.53
9,Synthetic Customer 00009,customer00009@example.invalid,Germany,2024-11-12,Standard,3469.63
10,Synthetic Customer 00010,customer00010@example.invalid,Australia,2023-09-20,Premium,9146.56
11,Synthetic Customer 00011,customer00011@example.invalid,USA,2021-06-07,Standard,15595.22
12,Synthetic Customer 00012,customer00012@example.invalid,Australia,2025-03-06,Standard,4862.42
13,Synthetic Customer 00013,customer00013@example.invalid,UK,2025-08-13,Premium,10188.45
14,Synthetic Customer 00014,customer00014@example.invalid,India,2022-03-06,Standard,8203.78
15,Synthetic Customer 00015,customer00015@example.invalid,India,2024-08-23,Premium,15393.63
16,Synthetic Customer 00016,customer00016@example.invalid,Canada,2020-01-13,Standard,4931.14
17,Synthetic Customer 00017,customer00017@example.invalid,UK,2022-11-29,Basic,16386.13
18,Synthetic Customer 00018,customer00018@example.invalid,India,2023-06-21,Basic,3992.79
19,Synthetic Customer 00019,customer00019@example.invalid,UK,2025-04-01,Basic,4659.50
20,Synthetic Customer 00020,customer00020@example.invalid,India,2021-01-26,Standard,18322.64
21,Synthetic Customer 00021,customer00021@example.invalid,Singapore,2025-07-03,Basic,9743.68
22,Synthetic Customer 00022,customer00022@example.invalid,Singapore,2022-03-22,Standard,13791.12
23,Synthetic Customer 00023,customer00023@example.invalid,Australia,2024-12-01,Basic,9939.30
24,Synthetic Customer 00024,customer00024@example.invalid,Germany,2025-08-30,Basic,800.56
25,Synthetic Customer 00025,customer00025@example.invalid,USA,2020-06-29,Premium,14278.50
26,Synthetic Customer 00026,customer00026@example.invalid,Germany,2022-01-29,Premium,18332.71
27,Synthetic Customer 00027,customer00027@example.invalid,Canada,2024-03-28,Premium,3137.21
28,Synthetic Customer 00028,customer00028@example.invalid,UK,2023-01-03,Basic,10602.93
29,Synthetic Customer 00029,customer00029@example.invalid,India,2022-08-12,Standard,15582.34
30,Synthetic Customer 00030,customer00030@example.invalid,Singapore,2024-08-24,Basic,17155.96
31,Synthetic Customer 00031,customer00031@example.invalid,Singapore,2023-07-10,Premium,11500.29
32,Synthetic Customer 00032,customer00032@example.invalid,Australia,2023-10-30,Premium,938.73
33,Synthetic Customer 00033,customer00033@example.invalid,India,2025-07-29,Basic,4896.95
34,Synthetic Customer 00034,customer00034@example.invalid,USA,2021-03-24,Basic,14135.23
35,Synthetic Customer 00035,customer00035@example.invalid,India,2020-10-27,Basic,9659.80
36,Synthetic Customer 00036,customer00036@example.invalid,UK,2025-12-09,Premium,6669.85
37,Synthetic Customer 00037,customer00037@example.invalid,Germany,2022-11-08,Premium,19415.47
38,Synthetic Customer 00038,customer00038@example.invalid,Canada,2025-07-29,Standard,4344.85
39,Synthetic Customer 00039,customer00039@example.invalid,Singapore,2022-07-30,Standard,4593.33
40,Synthetic Customer 00040,customer00040@example.invalid,Germany,2021-04-08,Standard,14863.89
41,Synthetic Customer 00041,customer00041@example.invalid,UK,2022-06-26,Basic,18865.54
42,Synthetic Customer 00042,customer00042@example.invalid,Australia,2023-07-20,Basic,15465.42
43,Synthetic Customer 00043,customer00043@example.invalid,Singapore,2020-03-25,Standard,17991.98
44,Synthetic Customer 00044,customer00044@example.invalid,Canada,2020-07-04,Standard,12634.01
45,Synthetic Customer 00045,customer00045@example.invalid,UK,2024-09-10,Standard,16094.83
46,Synthetic Customer 00046,customer00046@example.invalid,USA,2020-11-03,Premium,10914.59
47,Synthetic Customer 00047,customer00047@example.invalid,Canada,2020-03-04,Premium,14947.51
48,Synthetic Customer 00048,customer00048@example.invalid,Australia,2023-12-13,Premium,18358.69
49,Synthetic Customer 00049,customer00049@example.invalid,UK,2020-02-18,Premium,13793.82
50,Synthetic Customer 00050,customer00050@example.invalid,Singapore,2023-10-31,Premium,10643.24
51,Synthetic Customer 00051,customer00051@example.invalid,India,2020-06-23,Standard,13087.55
52,Synthetic Customer 00052,customer00052@example.invalid,Canada,2023-04-15,Standard,17599.40
53,Synthetic Customer 00053,customer00053@example.invalid,Canada,2021-07-29,Standard,16650.29
54,Synthetic Customer 00054,customer00054@example.invalid,UK,2022-09-17,Standard,3944.48
55,Synthetic Customer 00055,customer00055@example.invalid,USA,2021-08-04,Basic,11235.83
56,Synthetic Customer 00056,customer00056@example.invalid,India,2025-07-19,Premium,15844.73
57,Synthetic Customer 00057,customer00057@example.invalid,Singapore,2023-03-13,Basic,13052.53
58,Synthetic Customer 00058,customer00058@example.invalid,USA,2025-01-07,Standard,1745.09
59,Synthetic Customer 00059,customer00059@example.invalid,UK,2020-12-28,Basic,17149.42
60,Synthetic Customer 00060,customer00060@example.invalid,India,2021-03-15,Standard,17209.60
61,Synthetic Customer 00061,customer00061@example.invalid,Australia,2022-03-10,Basic,14078.43
62,Synthetic Customer 00062,customer00062@example.invalid,USA,2020-03-26,Standard,13432.86
63,Synthetic Customer 00063,customer00063@example.invalid,Germany,2021-12-17,Basic,16741.24
64,Synthetic Customer 00064,customer00064@example.invalid,Singapore,2021-11-15,Basic,2024.62
65,Synthetic Customer 00065,customer00065@example.invalid,Canada,2023-04-13,Standard,9958.91
66,Synthetic Customer 00066,customer00066@example.invalid,USA,2021-10-09,Basic,14310.06
67,Synthetic Customer 00067,customer00067@example.invalid,Singapore,2023-06-25,Basic,2013.23
68,Synthetic Customer 00068,customer00068@example.invalid,USA,2024-07-09,Premium,8954.76
69,Synthetic Customer 00069,customer00069@example.invalid,Germany,2021-01-30,Basic,3790.32
70,Synthetic Customer 00070,customer00070@example.invalid,Canada,2025-10-29,Premium,11894.48
71,Synthetic Customer 00071,customer00071@example.invalid,Australia,2020-10-22,Basic,18217.37
72,Synthetic Customer 00072,customer00072@example.invalid,UK,2022-11-09,Premium,4332.29
73,Synthetic Customer 00073,customer00073@example.invalid,USA,2020-02-26,Standard,12046.06
74,Synthetic Customer 00074,customer00074@example.invalid,UK,2021-03-07,Premium,4993.89
75,Synthetic Customer 00075,customer00075@example.invalid,USA,2024-12-07,Premium,14183.11
76,Synthetic Customer 00076,customer00076@example.invalid,Canada,2023-05-11,Basic,10564.39
77,Synthetic Customer 00077,customer00077@example.invalid,Australia,2023-06-30,Standard,17822.43
78,Synthetic Customer 00078,customer00078@example.invalid,Singapore,2022-12-07,Basic,6786.07
79,Synthetic Customer 00079,customer00079@example.invalid,UK,2020-06-16,Standard,245.39
80,Synthetic Customer 00080,customer00080@example.invalid,India,2021-10-07,Basic,15758.60
81,Synthetic Customer 00081,customer00081@example.invalid,Germany,2024-10-28,Premium,18011.56
82,Synthetic Customer 00082,customer00082@example.invalid,Canada,2022-03-27,Basic,17192.00
83,Synthetic Customer 00083,customer00083@example.invalid,Australia,2023-05-18,Premium,15577.70
84,Synthetic Customer 00084,customer00084@example.invalid,Germany,invalid-date,Premium,6316.16
85,Synthetic Customer 00085,customer00085@example.invalid,UK,2021-09-08,Premium,1042.27
86,Synthetic Customer 00086,customer00086@example.invalid,Canada,2021-12-19,Standard,16663.41
87,Synthetic Customer 00087,customer00087@example.invalid,UK,2023-10-30,Basic,15244.24
88,Synthetic Customer 00088,customer00088@example.invalid,Singapore,2021-03-28,Premium,13897.10
89,Synthetic Customer 00089,customer00089@example.invalid,UK,2025-08-16,Premium,11549.84
90,Synthetic Customer 00090,customer00090@example.invalid,Singapore,2024-03-23,Basic,9917.20
91,Synthetic Customer 00091,customer00091@example.invalid,India,2022-02-05,Basic,17294.35
92,Synthetic Customer 00092,customer00092@example.invalid,UK,2022-10-07,Standard,16891.42
93,Synthetic Customer 00093,customer00093@example.invalid,USA,2021-04-05,Premium,13652.95
94,Synthetic Customer 00094,customer00094@example.invalid,UK,2025-04-08,Standard,4166.64
95,Synthetic Customer 00095,customer00095@example.invalid,Australia,2022-12-21,Basic,19245.70
96,Synthetic Customer 00096,customer00096@example.invalid,Australia,2024-08-09,Premium,12182.09
97,Synthetic Customer 00097,customer00097@example.invalid,USA,2021-09-05,Basic,17060.69
98,Synthetic Customer 00098,customer00098@example.invalid,USA,2024-09-17,Premium,7424.17
99,Synthetic Customer 00099,customer00099@example.invalid,Singapore,2021-12-27,Standard,17030.47
100,Synthetic Customer 00100,customer00100@example.invalid,Canada,2022-12-25,Standard,16751.38
101,Synthetic Customer 00101,customer00101@example.invalid,USA,2024-12-12,Premium,3933.65
102,Synthetic Customer 00102,customer00102@example.invalid,USA,2023-08-07,Basic,4594.67
103,Synthetic Customer 00103,customer00103@example.invalid,UK,2025-10-10,Standard,19290.09
104,Synthetic Customer 00104,customer00104@example.invalid,USA,2020-09-01,Standard,10058.59
105,Synthetic Customer 00105,customer00105@example.invalid,India,2023-05-17,Premium,8731.76
106,Synthetic Customer 00106,customer00106@example.invalid,Australia,2024-10-09,Standard,8872.72
107,Synthetic Customer 00107,customer00107@example.invalid,Australia,2021-09-06,Standard,15883.27
108,Synthetic Customer 00108,customer00108@example.invalid,India,2022-11-01,Premium,19831.83
109,Synthetic Customer 00109,customer00109@example.invalid,India,2022-10-31,Premium,12251.87
110,Synthetic Customer 00110,customer00110@example.invalid,Germany,2023-02-14,Basic,182.39
111,Synthetic Customer 00111,customer00111@example.invalid,India,2021-07-13,Standard,12698.03
112,Synthetic Customer 00112,customer00112@example.invalid,Australia,2020-05-20,Standard,12051.63
113,Synthetic Customer 00113,customer00113@example.invalid,Germany,2020-05-30,Basic,18129.73
114,Synthetic Customer 00114,customer00114@example.invalid,USA,2023-07-07,Basic,8233.69
115,Synthetic Customer 00115,customer00115@example.invalid,India,2023-02-11,Basic,16073.19
116,Synthetic Customer 00116,customer00116@example.invalid,Canada,2024-12-18,Basic,19653.86
117,Synthetic Customer 00117,customer00117@example.invalid,Singapore,2021-08-17,Standard,4049.84
118,Synthetic Customer 00118,customer00118@example.invalid,Australia,2022-08-19,Basic,320.31
119,Synthetic Customer 00119,customer00119@example.invalid,Australia,2021-02-09,Basic,15102.64
120,Synthetic Customer 00120,customer00120@example.invalid,USA,2023-08-06,Basic,8119.28
121,Synthetic Customer 00121,customer00121@example.invalid,USA,2023-10-25,Basic,14414.71
122,Synthetic Customer 00122,customer00122@example.invalid,Germany,2024-07-16,Premium,11843.82
123,Synthetic Customer 00123,customer00123@example.invalid,Singapore,2021-07-27,Standard,6679.13
124,Synthetic Customer 00124,customer00124@example.invalid,USA,2025-08-15,Standard,19774.45
125,Synthetic Customer 00125,customer00125@example.invalid,Germany,2023-06-23,Premium,17273.87
126,Synthetic Customer 00126,customer00126@example.invalid,Australia,2024-04-21,Standard,10383.70
127,Synthetic Customer 00127,customer00127@example.invalid,Singapore,2024-02-02,Standard,13172.90
128,Synthetic Customer 00128,customer00128@example.invalid,Australia,2021-07-24,Premium,2515.85
